Name,Ratings,Reviews,Type,Location,Menu_price,PAX,Rooms,Amenities
Royal Palm Resorts,,1 review,Wedding Lawn,"Nirala Nagar, Lucknow ",₹800per plate,650-900,,+2 more
SAUBHAGYA BANQUET & GARDEN,5.0,6 reviews,Banquet Hall & Lawn,Jaipur ,₹999per plate,250-850,3,+4 more
Shree Rooplaxmi Castles Hotel And Garden,5.0,1 review,Hotel,"Niwaru Road, Jaipur ","₹2,700per plate",300-2500,43,+4 more
Hotel Surya Garh,4.8,3 reviews,Lawn & Banquet Hall,Jaipur ,₹500per plate,90-500,14,+3 more
Hotel Ratnawali,5.0,1 review,Banquet Hall,Jaipur ,₹600per plate,80-250,24,+3 more
"Lemon Tree Premier, Jaipur",5.0,1 review,4 Star Hotel,"Bani Park, Jaipur ",₹900per plate,80-300,108,+3 more
Hotel Apano Rajasthan,,5 reviews,Hotel,"Chomu, Jaipur ","₹1,000per plate",60-5500,75,+3 more
Hotel Maya International,5.0,3 reviews,Hotel,Jaipur ,₹499per plate,50-4000,49,+3 more
Sunday Hotel Jaipur,5.0,1 review,Hotel with Banquet,Jaipur ,"₹1,500per plate",150-250,96,+3 more
Rose Amer,5.0,1 review,Lawn & Banquet Hall,"Civil Lines, Jaipur ","₹3,000per plate",70-300,8,+3 more
Savista Retreat,5.0,3 reviews,Wedding Lawn,"Ajmer Road, Jaipur ","₹1,550per plate",400-700,12,+3 more
Kurki Heritage,4.8,27 reviews,Hotel with Banquet & Lawn,"Nirman Nagar, Jaipur ","₹1,400per plate",50-650,34,+5 more
Hathi Mauja Resort,5.0,1 review,Resort,Jaipur ,Price on Request,250-300,14,+3 more
Blessings Banquet & More,5.0,4 reviews,Banquet Hall,"Adarsh Nagar, Jaipur ","₹1,050per plate",150-500,,+2 more
The Marmelos House,5.0,3 reviews,Banquet Hall & Lawn,"Kukas, Jaipur ",₹800per plate,250-320,,+3 more
Lebua Resort,4.5,2 reviews,Lawn & Banquet Hall,Jaipur ,"₹1,800per plate",108-800,7,+3 more
Hotel Haveli Lawns,5.0,1 review,Lawn & Banquet Hall,Jaipur ,₹650per plate,250-1200,11,+3 more
Venice - The Wedding Destination,5.0,1 review,Lawn & Banquet Hall,Jaipur ,₹600per plate,300-700,,+2 more
Vishwakarma Recreation Club,5.0,1 review,Lawn & Banquet Hall,Jaipur ,"₹85,000per function",280-1000,,+3 more
Fort Chandragupt,4.8,2 reviews,Fort / Palace Hotel,"Sindhi Camp, Jaipur ","₹1,300per plate",100-300,92,+3 more
Amanbagh,5.0,1 review,5 Star Resort,Jaipur ,"₹95,00,000per function",250-300,37,+4 more
The Event Palace,,6 reviews,Hotel with Banquet & Lawn,"Indirapuram, Ghaziabad ","₹1,000per plate",50-1200,45,+4 more
The White Palace Banquet By Khanak,4.5,18 reviews,,Noida ,"₹1,400per plate",150-700,,+3 more
Crossroads Banquets Conventions,4.9,12 reviews,Hotel,"Sohna Road, Gurgaon ","₹2,500per plate",150-1200,100,+4 more
Gulmohar Farm,4.8,33 reviews,Farmhouse with Banquet,"Gurgaon, Gurgaon ","₹1,550per plate",25-400,11,+6 more
Hotel Aarkay Palace,4.9,10 reviews,Hotel with Banquet & Lawn,"Noida, Noida ","₹1,000per plate",60-350,60,+4 more
White Rose Hotel,,28 reviews,Hotel with Banquet,"Vasundhara, Ghaziabad ","₹2,500per plate",300-500,100,+4 more
The Palazio Banquets,5.0,13 reviews,Banquet Hall & Lawn,Ghaziabad ,"₹1,200per plate",70-500,2,+5 more
Ramada by Wyndham Gurgaon Central,5.0,7 reviews,Hotel with Banquet & Lawn,"Sushant Lok, Gurgaon ","₹2,800per plate",40-1000,94,+4 more
Moon Cloud Banquet,5.0,2 reviews,Banquet Hall & Lawn,Noida ,"₹1,200per plate",150-800,4,+4 more
Aula Banquet by Golden Grapes,,5 reviews,Banquet Hall,Faridabad ,"₹1,600per plate",150-500,2,+4 more
The Grand Courtyard NCR,5.0,12 reviews,Hotel,Ghaziabad ,"₹1,000per plate",200-700,30,+6 more
The Roman Palace Banquet (Veg only),,5 reviews,Banquet Hall,"Noida, Noida ","₹1,500per plate",75-900,,+3 more
"Radisson Blu MBD Hotel, Noida",4.9,5 reviews,5 Star Hotel,"Noida, Noida ","₹3,300per plate",50-500,131,+3 more
The Palms Town & Country Club,4.7,34 reviews,Lawn with Banquet,"Sector 43, Gurgaon ","₹3,000per plate",150-650,15,+4 more
Ananda Farm,5.0,17 reviews,Wedding Farmhouse,Noida ,"₹2,50,000per function",50-300,6,+4 more
The Venue by SK,5.0,4 reviews,Hotel,Noida ,"₹2,200per plate",250-500,18,+3 more
Envogue,5.0,11 reviews,Banquet Hall & Lawn,Gurgaon ,"₹4,000per plate",300-2000,,+3 more
